#Person location Sublocation StartTime EndTime Type
420977 99420977 1001 86380 86390 1
421095 99421095 1001 86380 86390 1
422303 99422303 1001 86380 86390 1
423441 99423441 1001 86380 86390 1
423352 99423352 1001 86380 86390 1
423120 99423120 1001 86380 86390 1
423832 99423832 1001 86380 86390 1
423853 99423853 1001 86380 86390 1
423863 99423863 1001 86380 86390 1
425291 99425291 1001 86380 86390 1
424535 99424535 1001 86380 86390 1
424446 99424446 1001 86380 86390 1
425631 99425631 1001 86380 86390 1
426954 99426954 1001 86380 86390 1
426751 99426751 1001 86380 86390 1
425834 99425834 1001 86380 86390 1
426073 99426073 1001 86380 86390 1
428593 99428593 1001 86380 86390 1
428697 99428697 1001 86380 86390 1
428532 99428532 1001 86380 86390 1
428724 99428724 1001 86380 86390 1
428664 99428664 1001 86380 86390 1
428122 99428122 1001 86380 86390 1
428096 99428096 1001 86380 86390 1
428886 99428886 1001 86380 86390 1
428980 99428980 1001 86380 86390 1
430064 99430064 1001 86380 86390 1
429690 99429690 1001 86380 86390 1
429748 99429748 1001 86380 86390 1
429461 99429461 1001 86380 86390 1
430791 99430791 1001 86380 86390 1
430438 99430438 1001 86380 86390 1
430720 99430720 1001 86380 86390 1
430626 99430626 1001 86380 86390 1
431791 99431791 1001 86380 86390 1
432014 99432014 1001 86380 86390 1
431496 99431496 1001 86380 86390 1
431498 99431498 1001 86380 86390 1
431199 99431199 1001 86380 86390 1
431092 99431092 1001 86380 86390 1
431032 99431032 1001 86380 86390 1
431215 99431215 1001 86380 86390 1
430928 99430928 1001 86380 86390 1
433483 99433483 1001 86380 86390 1
432963 99432963 1001 86380 86390 1
432826 99432826 1001 86380 86390 1
432861 99432861 1001 86380 86390 1
432804 99432804 1001 86380 86390 1
433830 99433830 1001 86380 86390 1
433737 99433737 1001 86380 86390 1
434033 99434033 1001 86380 86390 1
434972 99434972 1001 86380 86390 1
434794 99434794 1001 86380 86390 1
434228 99434228 1001 86380 86390 1
434408 99434408 1001 86380 86390 1
435530 99435530 1001 86380 86390 1
436842 99436842 1001 86380 86390 1
436911 99436911 1001 86380 86390 1
436470 99436470 1001 86380 86390 1
436364 99436364 1001 86380 86390 1
300065 99300065 1001 86380 86390 1
300625 99300625 1001 86380 86390 1
300163 99300163 1001 86380 86390 1
300182 99300182 1001 86380 86390 1
300830 99300830 1001 86380 86390 1
301181 99301181 1001 86380 86390 1
301188 99301188 1001 86380 86390 1
301056 99301056 1001 86380 86390 1
302244 99302244 1001 86380 86390 1
302248 99302248 1001 86380 86390 1
302237 99302237 1001 86380 86390 1
302167 99302167 1001 86380 86390 1
302002 99302002 1001 86380 86390 1
301765 99301765 1001 86380 86390 1
301767 99301767 1001 86380 86390 1
301846 99301846 1001 86380 86390 1
303146 99303146 1001 86380 86390 1
303161 99303161 1001 86380 86390 1
303072 99303072 1001 86380 86390 1
302946 99302946 1001 86380 86390 1
302705 99302705 1001 86380 86390 1
302670 99302670 1001 86380 86390 1
302595 99302595 1001 86380 86390 1
303957 99303957 1001 86380 86390 1
303958 99303958 1001 86380 86390 1
303952 99303952 1001 86380 86390 1
303915 99303915 1001 86380 86390 1
303665 99303665 1001 86380 86390 1
303731 99303731 1001 86380 86390 1
303596 99303596 1001 86380 86390 1
304098 99304098 1001 86380 86390 1
303829 99303829 1001 86380 86390 1
304113 99304113 1001 86380 86390 1
304133 99304133 1001 86380 86390 1
304809 99304809 1001 86380 86390 1
304526 99304526 1001 86380 86390 1
304909 99304909 1001 86380 86390 1
304969 99304969 1001 86380 86390 1
305023 99305023 1001 86380 86390 1
305486 99305486 1001 86380 86390 1
305674 99305674 1001 86380 86390 1
305360 99305360 1001 86380 86390 1
305253 99305253 1001 86380 86390 1
500075 99500075 1001 86380 86390 1
305686 99305686 1001 86380 86390 1
500085 99500085 1001 86380 86390 1
500758 99500758 1001 86380 86390 1
500543 99500543 1001 86380 86390 1
500590 99500590 1001 86380 86390 1
500593 99500593 1001 86380 86390 1
500425 99500425 1001 86380 86390 1
500300 99500300 1001 86380 86390 1
500340 99500340 1001 86380 86390 1
500266 99500266 1001 86380 86390 1
500292 99500292 1001 86380 86390 1
500230 99500230 1001 86380 86390 1
500852 99500852 1001 86380 86390 1
501000 99501000 1001 86380 86390 1
500861 99500861 1001 86380 86390 1
501532 99501532 1001 86380 86390 1
501281 99501281 1001 86380 86390 1
501289 99501289 1001 86380 86390 1
501022 99501022 1001 86380 86390 1
501027 99501027 1001 86380 86390 1
501662 99501662 1001 86380 86390 1
501667 99501667 1001 86380 86390 1
502377 99502377 1001 86380 86390 1
502276 99502276 1001 86380 86390 1
502303 99502303 1001 86380 86390 1
502349 99502349 1001 86380 86390 1
502248 99502248 1001 86380 86390 1
502066 99502066 1001 86380 86390 1
502000 99502000 1001 86380 86390 1
501949 99501949 1001 86380 86390 1
502527 99502527 1001 86380 86390 1
502633 99502633 1001 86380 86390 1
502546 99502546 1001 86380 86390 1
502880 99502880 1001 86380 86390 1
503050 99503050 1001 86380 86390 1
503067 99503067 1001 86380 86390 1
503421 99503421 1001 86380 86390 1
503313 99503313 1001 86380 86390 1
503720 99503720 1001 86380 86390 1
503518 99503518 1001 86380 86390 1
504308 99504308 1001 86380 86390 1
504882 99504882 1001 86380 86390 1
504899 99504899 1001 86380 86390 1
504903 99504903 1001 86380 86390 1
504495 99504495 1001 86380 86390 1
504445 99504445 1001 86380 86390 1
505060 99505060 1001 86380 86390 1
504976 99504976 1001 86380 86390 1
505628 99505628 1001 86380 86390 1
505681 99505681 1001 86380 86390 1
505578 99505578 1001 86380 86390 1
505365 99505365 1001 86380 86390 1
505369 99505369 1001 86380 86390 1
505172 99505172 1001 86380 86390 1
505834 99505834 1001 86380 86390 1
506560 99506560 1001 86380 86390 1
506070 99506070 1001 86380 86390 1
505997 99505997 1001 86380 86390 1
506693 99506693 1001 86380 86390 1
506668 99506668 1001 86380 86390 1
507296 99507296 1001 86380 86390 1
